,learning_rate,mean,std
0,0.05,79.18,36.61867829400728
1,0.01,128.7,64.69381732437807
2,0.005,173.55,46.47071658582424
3,0.001,152.71,31.167706043274983
4,0.0005,172.32,29.079848692866335
