,discount_factor,mean,std
0,0.8,121.77,58.11589369527066
1,0.9,116.94,50.9730948638593
2,0.95,158.97,47.313941919903485
3,0.98,154.48,61.75523945383097
4,0.99,154.85,48.603163477288184
